"Code","ObjectClass","Acronym"
137,"Tidal stream - non-harmonic prediction","TS_PNH"
138,"Tidal stream panel data","TS_PAD"
139,"Tidal stream - time series","TS_TIS"
140,"Tide - harmonic prediction","T_HMON"
141,"Tide - non-harmonic prediction","T_NHMN"
142,"Tidal stream - time series","T_TIMS"
143,"Tideway","TIDEWY"
144,"Top mark","TOPMAR"
145,"Traffic Separation Line","TSELNE"
146,"Traffic Separation Scheme  Boundary","TSSBND"
147,"Traffic Separation Scheme Crossing","TSSCRS"
148,"Traffic Separation Scheme  Lane part","TSSLPT"
149,"Traffic Separation Scheme  Roundabout","TSSRON"
150,"Traffic Separation Zone","TSEZNE"
151,"Tunnel","TUNNEL"
152,"Two-way route  part","TWRTPT"
153,"Underwater rock / awash rock","UWTROC"
154,"Unsurveyed area","UNSARE"
155,"Vegetation","VEGATN"
156,"Water turbulence","WATTUR"
157,"Waterfall","WATFAL"
158,"Weed/Kelp","WEDKLP"
159,"Wreck","WRECKS"
160,"Tidal stream - flood/ebb","TS_FEB"
300,"Accuracy of data","M_ACCY"
301,"Compilation scale of data","M_CSCL"
302,"Coverage","M_COVR"
303,"Horizontal datum of data","M_HDAT"
304,"Horizontal datum shift parameters","M_HOPA"
305,"Nautical publication information","M_NPUB"
306,"Navigational system of marks","M_NSYS"
307,"Production information","M_PROD"
308,"Quality of data","M_QUAL"
309,"Sounding datum","M_SDAT"
310,"Survey reliability","M_SREL"
311,"Units of measurement of data","M_UNIT"
312,"Vertical datum of data","M_VDAT"
400,"Aggregation","C_AGGR"
401,"Association","C_ASSO"
402,"Stacked on/stacked under","C_STAC"
500,"Cartographic area","$AREAS"
501,"Cartographic line","$LINES"
502,"Cartographic symbol","$CSYMB"
503,"Compass","$COMPS"
504,"Text","$TEXTS"
17000,"Anchor berth","achbrt"
17001,"Anchorage area","achare"
17002,"Canal bank","canbnk"
17003,"Depth area","depare"
17004,"distance mark","dismar"
17005,"Restricted area","resare"
17006,"River bank","rivbnk"
17007,"Signal station traffic","sistat"
17008,"Signal station warning","sistaw"
17009,"Top Mark","topmar"
17010,"Berth","berths"
17011,"Bridge","bridge"
17012,"Cable overhead","cblohd"
17013,"Ferry route","feryrt"
17014,"Harbour area (administrative)","hrbare"
17015,"Harbour facility","hrbfac"
17016,"Lock basin","lokbsn"
17017,"Radio calling-in point","rdocal"
17018,"Navigational system of marks","m_nsys"
17019,"Current non-gravitational","curent"
17020,"Hulk","hulkes"
17021,"Pontoon","ponton"
17022,"Sounding datum","m_sdat"
17023,"Vertical datum","m_vdat"
17024,"Pipeline overhead","pipohd"
17025,"Floating dock","flodoc"
17027,"Checkpoint","chkpnt"
17028,"Beacon lateral","bcnlat"
17029,"Buoy lateral","boylat"
17030,"Crane","cranes"
17031,"Gate","gatcon"
17032,"Shoreline Construction","slcons"
17033,"Underwater rock / awash rock","uwtroc"
17034,"Conveyor","convyr"
17050,"Notice mark","notmrk"
17051,"waterway axis","wtwaxs"
17052,"waterway profile","wtwprf"
17053,"Bridge area","brgare"
17054,"Bunker station","bunsta"
17055,"Communication area","comare"
17056,"Harbour basin","hrbbsn"
17057,"Lock area","lokare"
17058,"Lock basin part","lkbspt"
17059,"port area","prtare"
17060,"Beacon water-way","bcnwtw"
17061,"Buoy water-way","boywtw"
17062,"refuse dump","refdmp"
17063,"Route planning point","rtplpt"
17064,"terminal","termnl"
17065,"turning basin","trnbsn"
17066,"Waterway area","wtware"
17067,"Waterway gauge","wtwgag"
17068,"Time Schedule - in general","tisdge"
17069,"Vehicle transfer","vehtrf"
17070,"Exceptional navigation strcuture","excnst"
18001,"Maximum permitted ship dimensions","lg_sdm"
18002,"Maximum permitted vessel speed","lg_vsp"
